Location,Latitude,Longitude,Rating,Description
"272 Westridge Ave, Westlake, Daly City, CA 94015",37.6894984,-122.4944811,7,"Evidence of compression noted on north side of Westridge Avenue; on south side, sidewalk and curb damage due to compression."
"277 Westridge Ave, Westlake, Daly City, CA 94015",37.6891727,-122.4942416,7,"Observer fainted. Motion rapid. Loud earth noises heard. Furnishings shifted. Plaster, walls, and chimneys cracked. Damage considerable to brick and masonry. Ground: Sloping, filled in."
"20 Crestview Ave, Westlake, Daly City, CA 94015",37.6888809,-122.4926499,7,"Motion rapid, lasted 30-40 seconds. Direction NE. Loud earth noises heard. Small objects and furnishings shifted. Dishes broke. Damage considerable. Ground: Rocky soil, level."
"90 Westlawn Ave, Westlake, Daly City, CA 94015",37.705962,-122.4794589,7,"Motion started slow, then increased. Direction E-W and vertical. Loud earth noises heard. Small objects and furnishings shifted. Dishes broke. Plaster, walls, and ground cracked. Damage considerable to masonry, brick, and concrete. Ground: Compact."
"1320 So. Mayfair, Westlake, Daly City, CA 94015",37.6879505,-122.4893449,7,"Plaster and walls cracked. Concrete floor of garage had cracks 1 inch wide and 12-20 feet long. Dishes broke. Damage slight. Ground: Soil, compact, sloping."
"Westmoor Ave and Morningside Dr, Westlake, Daly City, CA 94015",37.6837328,-122.4919493,7,"Motion rapid. Direction N. Loud earth noises heard. Plaster, windows, walls, chimneys, and ground cracked. Damage considerable. Ground: Soil, sloping."
"39 Park Manor Dr, Westlake, Daly City, CA 94015",37.6947861,-122.4928267,7,"Motion rapid, rocking and rolling in all directions, lasted about 1 minute. Extremely loud earth noises heard. Appliances, stove, and furniture shifted. Threw many objects out of closets onto floor. Dishes and furniture broke. Plaster and ground cracked. Moved house about 1 inch east. Damage slight to considerable to concrete (not estimated yet). Ground: Almost level."
"south end of Westlake tract, Daly City, CA 94015",37.6800002,-122.4863492,7,"Observer working (carpenter). Motion rapid, first jolt lasted about 30 seconds. Direction N-S. Loud earth noises heard. Plaster, windows, walls, chimneys, and ground cracked. Fireplace chimneys fell. Damage considerable to wood, brick, masonry, and concrete. Ground: Level, sloping, filled in."
"88 Garden Grove Dr, Daly City, CA 94015",37.7019651,-122.4940647,7,"Plaster, walls, and chimney cracked. Dishes broke. Damage considerable to concrete and stucco. Ground: Compact."
"113 Palisades Dr, Westlake Palisades, Daly City, CA 94015",37.6892427,-122.4948606,7,Probably the most severely damaged home. Ground movements are believed to have accentuated building damage.
"127 Palisades Dr, Westlake Palisades, Daly City, CA 94015",37.6887362,-122.4947031,7,Two-inch separation. Cracks also on other side of house.
"124 Morningside Dr, Westlake Palisades, Daly City, CA 94015",37.685125,-122.4918573,7,"Motion rapid at first then slow. Shock came from all directions. Loud earth noises heard. Small and large objects shifted. Dishes, windows, and furniture broke. Plaster, windows, walls, chimneys, and ground cracked. Twisting and fall of chimneys, columns, and monuments. Damage considerable to brick, masonry, and concrete. Ground: Steep."
